,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,41603,"Roaster, I.S. [International Smelter] Co.",179896,CP_SPC_172_1.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164534,292,2017-03-06 18:43:39.716412+00:00,filestore/c4/a2/4c/c4a24c7ddd6e73aa98e6e9fa08807f0a,c4a24c7ddd6e73aa98e6e9fa08807f0a,image/tiff,CP_SPC_172_1.tif,19918196,/attachments/179896/content/CP_SPC_172_1.tif,file,file,c4/a2/4c/c4a24c7ddd6e73aa98e6e9fa08807f0a,,,,,,
1,41604,"Bedding Bins, I.S. [International Smelter] Co.",179897,CP_SPC_172_2.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164535,341,2017-03-06 18:52:53.697634+00:00,filestore/44/6a/b8/446ab87219362cf6974a10583940beaa,446ab87219362cf6974a10583940beaa,image/tiff,CP_SPC_172_2.tif,19788568,/attachments/179897/content/CP_SPC_172_2.tif,file,file,44/6a/b8/446ab87219362cf6974a10583940beaa,,,,,,
2,41605,Main Building. I.S. [International Smelter] Co.,179898,CP_SPC_172_3.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164536,9,2017-03-06 18:55:43.197876+00:00,filestore/d5/ca/fd/d5cafde478b6e1df3ef1e7888153b61e,d5cafde478b6e1df3ef1e7888153b61e,image/tiff,CP_SPC_172_3.tif,20326608,/attachments/179898/content/CP_SPC_172_3.tif,file,file,d5/ca/fd/d5cafde478b6e1df3ef1e7888153b61e,,,,,,
3,41606,"Tripper Car [and] Bedding Bins, I.S. [International Smelter] Co.",179899,CP_SPC_172_4.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164537,13,2017-03-06 19:01:17.416941+00:00,filestore/31/2e/27/312e2717ad4b4ae9c65be8d0629c9f25,312e2717ad4b4ae9c65be8d0629c9f25,image/tiff,CP_SPC_172_4.tif,19763928,/attachments/179899/content/CP_SPC_172_4.tif,file,file,31/2e/27/312e2717ad4b4ae9c65be8d0629c9f25,,,,,,
4,41607,"Roaster Building, I.S. [International Smelter] Co.",179900,CP_SPC_172_5.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164538,12,2017-03-06 19:03:18.001197+00:00,filestore/15/9e/e5/159ee5bc7af47ccffbc0308c59c946cb,159ee5bc7af47ccffbc0308c59c946cb,image/tiff,CP_SPC_172_5.tif,19577952,/attachments/179900/content/CP_SPC_172_5.tif,file,file,15/9e/e5/159ee5bc7af47ccffbc0308c59c946cb,,,,,,
5,41608,"Power House and Roaster, I.S. [International Smelter] Co.",179901,CP_SPC_172_6.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164539,11,2017-03-06 19:05:15.940790+00:00,filestore/0e/97/50/0e9750a5e9dcadec091cfff906d88d96,0e9750a5e9dcadec091cfff906d88d96,image/tiff,CP_SPC_172_6.tif,19839680,/attachments/179901/content/CP_SPC_172_6.tif,file,file,0e/97/50/0e9750a5e9dcadec091cfff906d88d96,,,,,,
6,41609,"Roaster and Conveyors, I.S. [International Smelter] Co.",179902,CP_SPC_172_7.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164540,10,2017-03-06 19:08:02.071965+00:00,filestore/94/d4/75/94d47539f6cafed0a3d9d1b6aa6ee225,94d47539f6cafed0a3d9d1b6aa6ee225,image/tiff,CP_SPC_172_7.tif,19951640,/attachments/179902/content/CP_SPC_172_7.tif,file,file,94/d4/75/94d47539f6cafed0a3d9d1b6aa6ee225,,,,,,
7,41610,"Cattrell System, I.S. [International Smelter] Co.",179903,CP_SPC_172_8.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164541,105,2017-03-06 19:10:04.240230+00:00,filestore/26/5f/06/265f065857a7ba40a46f3b8809d41d47,265f065857a7ba40a46f3b8809d41d47,image/tiff,CP_SPC_172_8.tif,19478252,/attachments/179903/content/CP_SPC_172_8.tif,file,file,26/5f/06/265f065857a7ba40a46f3b8809d41d47,,,,,,
8,41611,"Crusher, Conveyors and Roaster, I.S. [International Smelter] Co.",179904,CP_SPC_172_9.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164542,324,2017-03-06 19:15:30.364446+00:00,filestore/79/c7/b8/79c7b818dc81980b5c40a01bf3689225,79c7b818dc81980b5c40a01bf3689225,image/tiff,CP_SPC_172_9.tif,19921272,/attachments/179904/content/CP_SPC_172_9.tif,file,file,79/c7/b8/79c7b818dc81980b5c40a01bf3689225,,,,,,
9,41612,"Blowing Engines, I.S. [International Smelter] Co.",179905,CP_SPC_172_10.tif,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",164543,80,2017-03-06 19:17:43.881083+00:00,filestore/17/85/3b/17853b7321749d2ef3818b655a2b8b0f,17853b7321749d2ef3818b655a2b8b0f,image/tiff,CP_SPC_172_10.tif,19780352,/attachments/179905/content/CP_SPC_172_10.tif,file,file,17/85/3b/17853b7321749d2ef3818b655a2b8b0f,,,,,,
