,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,28028,Keeping up With...Patron Driven Acquisitions,144692,Keeping Up With... Patron Driven Acquisitions.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",125702,516,2015-02-27 0:55:47.262194+00:00,filestore/ed/dc/ed/eddced80ebeef0354a54f0da76f3db03,eddced80ebeef0354a54f0da76f3db03,application/pdf,Keeping Up With... Patron Driven Acquisitions.pdf,39102,/attachments/144692/content/Keeping%20Up%20With...%20Patron%20Driven%20Acquisitions.pdf,file,document,ed/dc/ed/eddced80ebeef0354a54f0da76f3db03,,,125702,,,
1,28035,Embargoes and Federally Funded Research,144730,Embargoes and Federally Funded Research.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",125740,416,2015-02-28 2:00:39.373370+00:00,filestore/6a/e8/16/6ae8165048af810062fc62c2f8c700ae,6ae8165048af810062fc62c2f8c700ae,application/pdf,Embargoes and Federally Funded Research.pdf,31545,/attachments/144730/content/Embargoes%20and%20Federally%20Funded%20Research.pdf,file,document,6a/e8/16/6ae8165048af810062fc62c2f8c700ae,,,125740,,,
2,28039,Open Access Week and Graduate College Workshop,144731,Open Access Week and Graduate College Workshop.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",125741,1078,2015-02-28 2:30:08.212959+00:00,filestore/b6/fd/5f/b6fd5ff1af7364e1778a834ee8e9cba0,b6fd5ff1af7364e1778a834ee8e9cba0,application/pdf,Open Access Week and Graduate College Workshop.pdf,1166274,/attachments/144731/content/Open%20Access%20Week%20and%20Graduate%20College%20Workshop.pdf,file,document,b6/fd/5f/b6fd5ff1af7364e1778a834ee8e9cba0,,,125741,,,
3,28040,Where Nobody Knows Your Name: Life in the Minor Leagues of Baseball - Book Review,144732,Where Nobody Knows Your Name Life in the Minor Leagues of Baseball - Book Review.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",125742,773,2015-02-28 2:48:55.510741+00:00,filestore/2e/da/88/2eda889d89ce3d3296b0992fa4300020,2eda889d89ce3d3296b0992fa4300020,application/pdf,Where Nobody Knows Your Name Life in the Minor Leagues of Baseball - Book Review.pdf,1250320,/attachments/144732/content/Where%20Nobody%20Knows%20Your%20Name%20Life%20in%20the%20Minor%20Leagues%20of%20Baseball%20-%20Book%20Review.pdf,file,document,2e/da/88/2eda889d89ce3d3296b0992fa4300020,,,125742,,,
4,39399,Becoming an Embedded Librarian: Making Connections in the Classroom - Book Review,172720,Becoming an Embedded Librarian - Making Connections in the Classroom (Book Review).pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",156298,204,2016-07-31 4:49:35.434577+00:00,filestore/7a/f7/92/7af7927ff6babe054530bcc04d8e9098,7af7927ff6babe054530bcc04d8e9098,application/pdf,Becoming an Embedded Librarian - Making Connections in the Classroom (Book Review).pdf,375957,/attachments/172720/content/Becoming%20an%20Embedded%20Librarian%20-%20Making%20Connections%20in%20the%20Classroom%20(Book%20Review).pdf,file,document,7a/f7/92/7af7927ff6babe054530bcc04d8e9098,,,156298,,,
5,40903,Paying to Publish: Open Access Author Fees and Libraries’ Initiative to Fund Publishing Costs,176863,Paying_to_Publish.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",160762,875,2016-12-06 4:45:30.394462+00:00,filestore/70/5c/fb/705cfbe82978846cc67012c1996a35c3,705cfbe82978846cc67012c1996a35c3,application/pdf,Paying_to_Publish.pdf,332963,/attachments/176863/content/Paying_to_Publish.pdf,file,document,70/5c/fb/705cfbe82978846cc67012c1996a35c3,,,160762,,,
