,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,105312,Open Your Minds to Open Access!,105312,Open Access Poster Presentation,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",75691,527,2013-04-10 19:50:27.256988+00:00,filestore/f4/91/01/f49101dc6e4da655da09da8ff9140f00,f49101dc6e4da655da09da8ff9140f00,application/pdf,open access_poster presentation.pdf,1216823,/attachments/105312/content/open%20access_poster%20presentation.pdf,file,document,f4/91/01/f49101dc6e4da655da09da8ff9140f00,16587,,75691,,,
1,20642,Reading Difficulty Levels of Selected Articles in the Journal of Research in Music Education and Journal of Historical Research in Music Education,125323,Reading Difficulties_MERI06pp15-25HumphreysHumphreys.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",103692,504,2014-01-24 22:26:07.042606+00:00,filestore/a5/77/2c/a5772cb3625cea3e164f1948472078d0,a5772cb3625cea3e164f1948472078d0,application/pdf,Reding Difficulties_MERI06pp15-25HumphreysHumphreys.pdf,281545,/attachments/125323/content/Reding%20Difficulties_MERI06pp15-25HumphreysHumphreys.pdf,file,document,a5/77/2c/a5772cb3625cea3e164f1948472078d0,,,103692,,,
2,26687,"North, South, East and West: Best Practices in Information Literacy Services for International Students at Arizona Universities",140167,AzLA_PfanderSituHumphreysPosterFinal.pdf,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",120472,928,2014-11-18 17:18:03.328853+00:00,filestore/f5/66/ea/f566eab646c758c347a44c23e1c9d8e5,f566eab646c758c347a44c23e1c9d8e5,application/pdf,AzLA_PfanderSituHumphreysPosterFinal.pdf,1337226,/attachments/140167/content/AzLA_PfanderSituHumphreysPosterFinal.pdf,file,document,f5/66/ea/f566eab646c758c347a44c23e1c9d8e5,,,120472,,,
3,105313,Open Your Minds to Open Access!,105313,Open Access Handout,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",75692,276,2013-04-10 19:51:46.309057+00:00,filestore/b6/d3/1b/b6d31beaa7da2f52911a690afaf52340,b6d31beaa7da2f52911a690afaf52340,application/pdf,open access_handout.pdf,87899,/attachments/105313/content/open%20access_handout.pdf,file,document,b6/d3/1b/b6d31beaa7da2f52911a690afaf52340,16587,,75692,,,
4,105314,Open Your Minds to Open Access!,105314,Open Access Bookmarks,,,,,,,,,,,,,1,1,"{'notes': [], 'extent': [], 'type': [], 'description': [], 'title': [], 'contributor': [], 'citation': [], 'series': [], 'subject': [], 'identifier': [], 'language': []}",75693,241,2013-04-10 19:53:23.179470+00:00,filestore/f0/dc/8f/f0dc8fc79955f62e4d428fd59df5a0f9,f0dc8fc79955f62e4d428fd59df5a0f9,application/pdf,open access_bookmarks.pdf,246473,/attachments/105314/content/open%20access_bookmarks.pdf,file,document,f0/dc/8f/f0dc8fc79955f62e4d428fd59df5a0f9,16587,,75693,,,
