item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path
36571,Arizona Congressional Delegation Motion Picture,164319,AZ_Congressional_Delegation.mp4,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",147191,345,2016-02-09 0:27:27.871736+00:00,filestore/1b/f9/92/1bf992a5807db9608e03ea088a792e00,1bf992a5807db9608e03ea088a792e00,video/mp4,AZ_Congressional_Delegation.mp4,2270789001,/attachments/164319/content/AZ_Congressional_Delegation.mp4,file,video,1b/f9/92/1bf992a5807db9608e03ea088a792e00
36572,Carl Hayden Endorsement Motion Pictures,164350,Hayden_Elson_Moss_Campaigns.mp4,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",147222,209,2016-02-09 22:36:26.103029+00:00,filestore/39/1e/31/391e31902fcd9cafc62ec432341964db,391e31902fcd9cafc62ec432341964db,video/mp4,Hayden_Elson_Moss_Campaigns.mp4,127823082,/attachments/164350/content/Hayden_Elson_Moss_Campaigns.mp4,file,video,39/1e/31/391e31902fcd9cafc62ec432341964db
36573,Carl Hayden with League of Women Voters,164351,Hayden_Womens_Suffrage.mp4,,,,,,,,,,,,,1,1,"{'type': [], 'title': [], 'citation': [], 'series': [], 'subject': [], 'description': [], 'contributor': [], 'notes': [], 'language': [], 'extent': [], 'identifier': []}",147223,297,2016-02-09 23:54:45.370752+00:00,filestore/83/25/f3/8325f3f1a51dfb923069dd01a96917b4,8325f3f1a51dfb923069dd01a96917b4,video/mp4,Hayden_Womens_Suffrage.mp4,269612600,/attachments/164351/content/Hayden_Womens_Suffrage.mp4,file,video,83/25/f3/8325f3f1a51dfb923069dd01a96917b4
