,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file checksum.1,file type,media type,old item id,image id,document id,video id,audio id,generic file id
10,45595,"Global Education, Global Challenges: Licensing for the New American University",191227,"Global Education, Global Challenges:  Licensing for the New American University",,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",184363,265,2017-10-03 15:26:36.012729+00:00,filestore/ae/ff/ae/aeffaea2a08b07af9fe0d5b60a36302a,aeffaea2a08b07af9fe0d5b60a36302a,application/pdf,ATG_Perry_20171003.pdf,234828,/attachments/191227/content/ATG_Perry_20171003.pdf,aeffaea2a08b07af9fe0d5b60a36302a,file,document,,184363,184363,184363,184363,184363
11,55112,Building copyright confidence in instructional designers,222095,Building copyright confidence in instructional designers,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",218581,36,2019-11-18 21:25:59.443327+00:00,filestore/6a/00/0a/6a000ad814b16a35b54d6aa0eb2e6cb8,6a000ad814b16a35b54d6aa0eb2e6cb8,application/pdf,Perry_Building_copyright_confidence_2019.pdf,1251452,/attachments/222095/content/Perry_Building_copyright_confidence_2019.pdf,6a000ad814b16a35b54d6aa0eb2e6cb8,file,document,,218581,218581,218581,218581,218581
12,60516,The Balance Point: Libraries as Journal Publishers,60516,Libraries_as_journal_publishers_ Figure1.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",33400,663,2011-10-25 17:11:10.608134+00:00,filestore/08/fd/2d/08fd2de8cea632125a370457361df098,08fd2de8cea632125a370457361df098,application/pdf,Libraries_as_journal_publishers_ Figure1.pdf,108924,/attachments/60516/content/Libraries_as_journal_publishers_%20Figure1.pdf,08fd2de8cea632125a370457361df098,file,document,12019,33400,33400,33400,33400,33400
13,135564,Producing and Evaluating The Library Minute,135564,Goals,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114580,419,2014-06-25 18:33:41.215182+00:00,filestore/c3/ae/9e/c3ae9ed225dd73a12be97acc6a4058d9,c3ae9ed225dd73a12be97acc6a4058d9,image/png,Goal.png,42011,/attachments/135564/content/Goal.png,c3ae9ed225dd73a12be97acc6a4058d9,image,image,25316,114580,114580,114580,114580,114580
14,135570,Let's Go! An Open Access Travel Guide,135570,Let's Go! Presentation Handout,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114586,1049,2014-06-25 20:14:29.384273+00:00,filestore/bb/57/62/bb576218b86dfda62d06f4047487a9e3,bb576218b86dfda62d06f4047487a9e3,application/pdf,LetsGo_perryhandout.pdf,16774055,/attachments/135570/content/LetsGo_perryhandout.pdf,bb576218b86dfda62d06f4047487a9e3,file,document,25317,114586,114586,114586,114586,114586
15,161834,Personal Productivity: The Eternal Quest,161834,Personal Productivity - speaker notes,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",144448,526,2015-11-24 21:09:42.987652+00:00,filestore/c6/fe/fe/c6fefe222d404e642ad41e5a0a306c89,c6fefe222d404e642ad41e5a0a306c89,application/pdf,20151118_Personal_Productivity_speakernotes.pdf,108681,/attachments/161834/content/20151118_Personal_Productivity_speakernotes.pdf,c6fefe222d404e642ad41e5a0a306c89,file,document,35895,144448,144448,144448,144448,144448
16,60517,The Balance Point: Libraries as Journal Publishers,60517,Libraries_as_journal_publishers_Table1.pdf,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",33401,655,2011-10-25 17:11:16.431628+00:00,filestore/c5/34/01/c534011047971024b17e3aa84e3e8c3d,c534011047971024b17e3aa84e3e8c3d,application/pdf,Libraries_as_journal_publishers_Table1.pdf,9536,/attachments/60517/content/Libraries_as_journal_publishers_Table1.pdf,c534011047971024b17e3aa84e3e8c3d,file,document,12019,33401,33401,33401,33401,33401
17,135565,Producing and Evaluating The Library Minute,135565,Produce,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114581,426,2014-06-25 18:33:53.233187+00:00,filestore/cd/f1/95/cdf195dc369fd0bfbdf856f51220376c,cdf195dc369fd0bfbdf856f51220376c,image/png,Produce.png,84602,/attachments/135565/content/Produce.png,cdf195dc369fd0bfbdf856f51220376c,image,image,25316,114581,114581,114581,114581,114581
18,135566,Producing and Evaluating The Library Minute,135566,Deliver,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114582,212,2014-06-25 18:34:01.707676+00:00,filestore/07/e7/68/07e76895f509abd5ce2bf9b2f0f7612f,07e76895f509abd5ce2bf9b2f0f7612f,image/png,Deliver.png,90838,/attachments/135566/content/Deliver.png,07e76895f509abd5ce2bf9b2f0f7612f,image,image,25316,114582,114582,114582,114582,114582
19,135567,Producing and Evaluating The Library Minute,135567,Evaluate,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114583,164,2014-06-25 18:34:08.678387+00:00,filestore/cd/45/24/cd452478b60d5c556ef2eed4e2b7de34,cd452478b60d5c556ef2eed4e2b7de34,image/png,Evaluate.png,68169,/attachments/135567/content/Evaluate.png,cd452478b60d5c556ef2eed4e2b7de34,image,image,25316,114583,114583,114583,114583,114583
20,135568,Producing and Evaluating The Library Minute,135568,Learn,,,,,,,,,,,,,1,1,"{'title': [], 'subject': [], 'notes': [], 'description': [], 'citation': [], 'language': [], 'contributor': [], 'extent': [], 'type': [], 'identifier': [], 'series': []}",114584,344,2014-06-25 18:34:17.167499+00:00,filestore/62/30/d9/6230d920e13f4a63043919e310b10214,6230d920e13f4a63043919e310b10214,image/png,Learn.png,49451,/attachments/135568/content/Learn.png,6230d920e13f4a63043919e310b10214,image,image,25316,114584,114584,114584,114584,114584
