,item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,attachment file access,attachment derivative access,attachment md,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size,file url,file type,media type,storage path,old item id,image id,document id,video id,audio id,generic file id
0,26973,Adopter-dog interactions at the shelter: Behavioral and contextual predictors of adoption,141427,Adopter-dog interactions at the shelter: Behavioral and contextual predictors of adoption,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",121905,2111,2014-12-08 18:01:38.261517+00:00,filestore/c2/8a/42/c28a42d79972771e6f64604582890df9,c28a42d79972771e6f64604582890df9,application/pdf,Protopopova and Wynne 2014 Out of kennel interactions.pdf,317912,/attachments/141427/content/Protopopova%20and%20Wynne%202014%20Out%20of%20kennel%20interactions.pdf,file,document,c2/8a/42/c28a42d79972771e6f64604582890df9,,,121905,,,
1,27027,The effects of social training and other factors on adoption success of shelter dogs,141974,Protopopova Social training.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",122350,1575,2014-12-11 20:52:56.114831+00:00,filestore/61/74/ab/6174ab858753fdf87fe2b513ed99124c,6174ab858753fdf87fe2b513ed99124c,application/pdf,Protopopova Social training.pdf,411164,/attachments/141974/content/Protopopova%20Social%20training.pdf,file,document,61/74/ab/6174ab858753fdf87fe2b513ed99124c,,,122350,,,
2,27039,Association between increased behavioral persistence and stereotypy in the pet dog,142100,Canine Compulsive Final.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",122351,1640,2014-12-11 22:57:25.631374+00:00,filestore/48/80/be/4880be8b5b2784575994c3df7875e888,4880be8b5b2784575994c3df7875e888,application/pdf,Canine Compulsive Final.pdf,320316,/attachments/142100/content/Canine%20Compulsive%20Final.pdf,file,document,48/80/be/4880be8b5b2784575994c3df7875e888,,,122351,,,
3,27059,Megachiropteran Bats Utilize Human Referential Stimuli to Locate Hidden Food,142287,Hall Bats Utilize.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",122824,1055,2014-12-20 6:57:17.049187+00:00,filestore/a6/7c/01/a67c01e9f1a1992b74ef936bc9cc07d4,a67c01e9f1a1992b74ef936bc9cc07d4,application/pdf,Hall Bats Utilize.pdf,7987740,/attachments/142287/content/Hall%20Bats%20Utilize.pdf,file,document,a6/7c/01/a67c01e9f1a1992b74ef936bc9cc07d4,,,122824,,,
4,27060,The Canid Genome: Behavioral Geneticists’ Best Friend?,142288,Hall_Canid Genome.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",122825,1052,2014-12-20 7:06:29.235055+00:00,filestore/4e/12/70/4e1270736c199c3d966fdfd89e080eba,4e1270736c199c3d966fdfd89e080eba,application/pdf,Hall_Canid Genome.pdf,427802,/attachments/142288/content/Hall_Canid%20Genome.pdf,file,document,4e/12/70/4e1270736c199c3d966fdfd89e080eba,,,122825,,,
5,27061,Effect of odor preexposure on acquisition of an odor discrimination in dogs,142289,Hall et al. Odor pre-exposure.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",122828,1387,2014-12-20 23:59:08.885981+00:00,filestore/c8/fe/55/c8fe55c6a8eb8bf6e73abe7597601cbc,c8fe55c6a8eb8bf6e73abe7597601cbc,application/pdf,Hall et al. Odor pre-exposure.pdf,391295,/attachments/142289/content/Hall%20et%20al.%20Odor%20pre-exposure.pdf,file,document,c8/fe/55/c8fe55c6a8eb8bf6e73abe7597601cbc,,,122828,,,
6,27062,Training domestic dogs (Canis lupus familiaris) on a novel discrete trials odor-detection  task,142290,Hall et al Odor Detection.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",122832,1111,2014-12-21 0:02:37.141593+00:00,filestore/b6/93/2c/b6932c5013e4b170a3d3fc76e4f0bf01,b6932c5013e4b170a3d3fc76e4f0bf01,application/pdf,Hall et al Odor Detection.pdf,566176,/attachments/142290/content/Hall%20et%20al%20Odor%20Detection.pdf,file,document,b6/93/2c/b6932c5013e4b170a3d3fc76e4f0bf01,,,122832,,,
7,27063,The role of environmental and owner-provided consequences in canine stereotypy and compulsive behavior,142291,undefined,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",122837,1224,2014-12-21 0:07:55.756759+00:00,filestore/87/5a/69/875a691b001f4d6d973c550b717a8686,875a691b001f4d6d973c550b717a8686,application/pdf,Hall et al. Stereotypy.pdf,279229,/attachments/142291/content/Hall%20et%20al.%20Stereotypy.pdf,file,document,87/5a/69/875a691b001f4d6d973c550b717a8686,,,122837,,,
8,30289,Assessment of attachment behaviour to human caregivers in wolf pups (Canis lupus lupus),152374,Wolf_Ainworth_final.pdf,,,,,,,,,,,,,1,1,"{'type': [], 'description': [], 'series': [], 'language': [], 'title': [], 'subject': [], 'contributor': [], 'citation': [], 'identifier': [], 'extent': [], 'notes': []}",134402,1071,2015-07-02 22:40:47.914467+00:00,filestore/a5/76/43/a57643e9c358ab293960c385a36f65f3,a57643e9c358ab293960c385a36f65f3,application/pdf,Wolf_Ainworth_final.pdf,346735,/attachments/152374/content/Wolf_Ainworth_final.pdf,file,document,a5/76/43/a57643e9c358ab293960c385a36f65f3,,,134402,,,
