item id,item title,attachment id,attachment label,attachment title,attachment type,attachment description,attachment date,attachment contributors,attachment subjects,attachment series,attachment extent,attachment notes,attachment citation,attachment language,attachment identifier,file id,file access count,file created,file location,file checksum,file mime,file original_filename,file size
14593,Two-flavor Color Superconductivity in Magnetic Field,93476,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60690,314,2012-08-24 23:16:43.937050+00:00,filestore/39/3a/95/393a95824a5db6ad340dabe8cee846c2,393a95824a5db6ad340dabe8cee846c2,application/pdf,/tmp/package-KWJVN5/Yu_asu_0010E_11525.pdf,298791
14594,"Dieterich Buxtehude's Membra Jesu Nostri: An historical overview, analysis and conducting guide",93477,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60691,5625,2012-08-24 23:16:46.038107+00:00,filestore/3d/71/b1/3d71b1f5c9fc542b4e587b7ab6615d89,3d71b1f5c9fc542b4e587b7ab6615d89,application/pdf,/tmp/package-db90aw/KIM_asu_0010E_11526.pdf,2343137
14595,Ecological Factors and the Behavioral and Educational Outcomes of African American Students in Special Education,93478,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60692,1032,2012-08-24 23:16:46.909479+00:00,filestore/2f/8b/31/2f8b318d4f4ce79f478ec05265a9a9c8,2f8b318d4f4ce79f478ec05265a9a9c8,application/pdf,/tmp/package-bxlzOU/Bean_asu_0010E_11529.pdf,718684
14596,Analysis of Pulsed Gas Metal Arc Welding (P-GMAW) Heat Input on UNS-S32101 Lean Duplex Stainless Steel,93479,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60693,26741,2012-08-24 23:16:49.245491+00:00,filestore/f8/b7/e7/f8b7e719fa27faf6c6e5cc8280da662c,f8b7e719fa27faf6c6e5cc8280da662c,application/pdf,/tmp/package-R0cDFk/CarterIV_asu_0010N_11531.pdf,6387786
14597,The Desire for Europe: European Integration and the Question of State Violence,93480,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60694,835,2012-08-24 23:16:50.109733+00:00,filestore/6e/44/e9/6e44e9661dcb079bab7ad3b7d2271f41,6e44e9661dcb079bab7ad3b7d2271f41,application/pdf,/tmp/package-SDhYcC/Borg_asu_0010E_11535.pdf,1248026
14598,The Art of Inventing Matilda of Canossa,93481,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60695,8022,2012-08-24 23:16:59.455481+00:00,filestore/9c/28/7a/9c287a8e1c0ec607953b478bd059e465,9c287a8e1c0ec607953b478bd059e465,application/pdf,/tmp/package-vQ0L8j/Smith_asu_0010N_11454.pdf,28835947
14599,Beginning Chemistry Teachers Use of the Triplet Relationship During their First Three Years in the Classroom,93482,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60696,1657,2012-08-24 23:17:00.352469+00:00,filestore/60/5f/7d/605f7d264b3317b6bb62df0e39c6207a,605f7d264b3317b6bb62df0e39c6207a,application/pdf,/tmp/package-_afVDz/Adams_asu_0010E_11456.pdf,2050219
14600,"Imagineering Healthcare: A Healing Environment Design Model based on Experiential Design, Authenticity and Disney's Design Approaches",93483,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60697,995,2012-08-24 23:17:00.817595+00:00,filestore/3b/fd/73/3bfd73e4e1f8e436423c2f73751c2b54,3bfd73e4e1f8e436423c2f73751c2b54,application/pdf,/tmp/package-kgL9jc/DuenasParra_asu_0010N_11457.pdf,625794
14601,The Stick Soldiers,93484,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60698,41,2012-08-24 23:17:01.329094+00:00,filestore/dc/89/c4/dc89c423c9ead66206be1c3163b56503,dc89c423c9ead66206be1c3163b56503,application/pdf,/tmp/package-IAb5De/Martin_asu_0010N_11472.pdf,399991
14602,The Only Living Boy in Omaha,93485,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60699,42,2012-08-24 23:17:01.690682+00:00,filestore/58/bd/fd/58bdfda394459cc4b35709f388806bf8,58bdfda394459cc4b35709f388806bf8,application/pdf,/tmp/package-WG_Igv/Lake_asu_0010N_11466.pdf,149988
14603,Ecological Contexts and Family Dynamics among Mexican American Families,93486,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60700,431,2012-08-24 23:17:02.263421+00:00,filestore/a8/fd/8f/a8fd8f0cdfb2de120860aa023027addb,a8fd8f0cdfb2de120860aa023027addb,application/pdf,/tmp/package-GLKNQ6/Wheeler_asu_0010E_11481.pdf,753780
14604,The Influence of Religiosity on Psychological Well-Being and Life Satisfaction in an Elderly Population,93487,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60701,1473,2012-08-24 23:17:02.812548+00:00,filestore/0e/6e/f2/0e6ef2980c3b5ab2da506b27cf36d9ef,0e6ef2980c3b5ab2da506b27cf36d9ef,application/pdf,/tmp/package-JQ4HfE/MorenoWeinert_asu_0010E_11482.pdf,487965
14605,Cultural Transmission in Mexican American Families: Considering Youth's Active Role in their Cultural Development,93488,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60702,409,2012-08-24 23:17:03.463066+00:00,filestore/90/a1/e9/90a1e98c19780c93206cafae175ed0bf,90a1e98c19780c93206cafae175ed0bf,application/pdf,/tmp/package-XxxSxq/PerezBrena_asu_0010E_11487.pdf,421632
14606,The Non-Criminal Consequences of Gang Membership: Impacts on Education and Employment in the Life-Course,93489,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60703,4389,2012-08-24 23:17:04.630499+00:00,filestore/0c/54/77/0c54777f12a14a7c7cc6efa519d1213a,0c54777f12a14a7c7cc6efa519d1213a,application/pdf,/tmp/package-2c5jFq/Pyrooz_asu_0010E_11426.pdf,1224197
14607,"Dimensions of Religious Practice: The Ammatoans of Sulawesi, Indonesia",93490,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60704,5508,2012-08-24 23:17:05.532299+00:00,filestore/a3/be/3b/a3be3b61ce365e56f6ee962107241f41,a3be3b61ce365e56f6ee962107241f41,application/pdf,/tmp/package-YNT6CQ/Maarif_asu_0010E_11433.pdf,1566914
14608,A Performance Guide to John Carter's Cantata,93491,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60705,9849,2012-08-24 23:17:07.525505+00:00,filestore/6e/50/5e/6e505e347da8171cbd0663b7dff4caae,6e505e347da8171cbd0663b7dff4caae,application/pdf,/tmp/package-TceKpr/Na_asu_0010E_11438.pdf,10107722
14609,Navajo Female Participation In Volleyball: Its Impact/Correlation on Postsecondary Success,93492,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60706,5295,2012-08-24 23:17:08.672511+00:00,filestore/b2/bc/ec/b2bcec97095e51cde7c7955a7d3cc5b0,b2bcec97095e51cde7c7955a7d3cc5b0,application/pdf,/tmp/package-wkoWCJ/Gilmore_asu_0010E_11440.pdf,1778927
14610,Code Choice in the Spanish as a Foreign Language Classroom,93493,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60707,405,2012-08-24 23:17:09.252449+00:00,filestore/20/d9/68/20d968e0f45ff4d5b310702a23bc1b31,20d968e0f45ff4d5b310702a23bc1b31,application/pdf,/tmp/package-nqoi85/Hansel_asu_0010N_11451.pdf,459896
14611,"Design, Modeling And Simulation Of Nanoscale Optoelectronic Devices: Semiconductor Nano-Lasers And Plasmonic Waveguides",93494,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60708,3419,2012-08-24 23:17:10.526066+00:00,filestore/95/1e/3a/951e3a2c9acc46417b0f25950114c095,951e3a2c9acc46417b0f25950114c095,application/pdf,/tmp/package-AFWCwc/Li_asu_0010E_11462.pdf,1411485
14612,Novel Cues Reinstate Cocaine-Seeking Behavior and Induce Fos Protein as Effectively as Conditioned Cues,93495,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60709,728,2012-08-24 23:17:12.868075+00:00,filestore/c4/9d/53/c49d53cf6273fa6612c467903cba71cc,c49d53cf6273fa6612c467903cba71cc,application/pdf,/tmp/package-ahbBM0/Bastle_asu_0010N_11471.pdf,11073707
14613,"Examining Adolescents' Gender Stereotypes and Ingroup Biases About Academics, Classroom Regulatory Behavior, and Occupations",93496,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60710,635,2012-08-24 23:17:13.411660+00:00,filestore/02/5a/46/025a46f0f6562c451c99b5a126067137,025a46f0f6562c451c99b5a126067137,application/pdf,/tmp/package-4xQN6a/Galligan_asu_0010N_11485.pdf,1324317
14614,"Otherworldly Figures: Rhetoric, Representation, and the Public Performance of Femininity in Nineteenth-Century Spirit Mediums' Autobiographies",93497,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60711,456,2012-08-24 23:17:13.877461+00:00,filestore/11/7b/27/117b27f1e96407075c230eff0f7ca80d,117b27f1e96407075c230eff0f7ca80d,application/pdf,/tmp/package-Vxs6wv/Lowry_asu_0010E_11488.pdf,584929
14615,"Gold Nanorod-based Assemblies and Composites: Cancer Therapeutics, Sensors and Tissue Engineering Materials",93498,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60712,7530,2012-08-24 23:17:15.267611+00:00,filestore/bd/30/ae/bd30ae8ba5707b4b6a686bbe49afc426,bd30ae8ba5707b4b6a686bbe49afc426,application/pdf,/tmp/package-Fg3bRp/Huang_asu_0010E_11495.pdf,11070223
14616,The Sandinista Revolution portrayed in the autobiographical texts El país bajo mi piel by Gioconda Belli and Adiós Muchachos by Sergio Ramirez,93499,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60713,2174,2012-08-24 23:17:16.126075+00:00,filestore/10/d0/16/10d0160c776c14392a66265a1362cd18,10d0160c776c14392a66265a1362cd18,application/pdf,/tmp/package-UodNi7/Morales_asu_0010N_11496.pdf,435849
14617,Fate and Biological Effects of Engineered Nanomaterials during Simulated Wastewater Treatment Processes,93500,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60714,1644,2012-08-24 23:17:16.649379+00:00,filestore/2b/91/30/2b91306ee2b95bda402ad113ec96189b,2b91306ee2b95bda402ad113ec96189b,application/pdf,/tmp/package-15UhRP/WANG_asu_0010N_11497.pdf,1092760
14618,Volatile Perceptions: The Power of the Public Sphere to Reshape Science,93501,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60715,347,2012-08-24 23:17:17.034379+00:00,filestore/cb/94/4c/cb944c0c3a3726faf6584778a9a226ed,cb944c0c3a3726faf6584778a9a226ed,application/pdf,/tmp/package-3zNUvQ/Smith_asu_0010N_11509.pdf,248184
14619,Adaptive Biofeedback with Signal Processing and Biosensors in Mobile Health,93502,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60716,1390,2012-08-24 23:17:18.318656+00:00,filestore/a0/98/e6/a098e667b4c6beb71d3f8f1dc297b54f,a098e667b4c6beb71d3f8f1dc297b54f,application/pdf,/tmp/package-Tf9Rgu/Krishnan_asu_0010N_11518.pdf,8556433
14620,Masters Level Graduate Student Writing Groups: Exploring Academic Identity,93503,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60717,846,2012-08-24 23:17:18.885466+00:00,filestore/c1/dd/24/c1dd24100553606bfa06c9ddb6d9b1a3,c1dd24100553606bfa06c9ddb6d9b1a3,application/pdf,/tmp/package-lMgjx7/Ruggles_asu_0010E_11520.pdf,860045
14621,"Genre Reassignment: Crime, Morality, and Elmore Leonard's Place in Law & Literature",93504,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60718,886,2012-08-24 23:17:19.325859+00:00,filestore/da/cc/6a/dacc6a98a10ee6c51e872d0ed05f8f1d,dacc6a98a10ee6c51e872d0ed05f8f1d,application/pdf,/tmp/package-qOkDkB/Weier_asu_0010N_11527.pdf,137293
14622,"Somatic ABC's: A Theoretical Framework for Designing, Developing and Evaluating the Building Blocks of Touch-Based Information Delivery",93505,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60719,1234,2012-08-24 23:17:22.975514+00:00,filestore/00/9a/17/009a177dc25d4b08f92368666436e230,009a177dc25d4b08f92368666436e230,application/pdf,/tmp/package-ea_Ifn/McDaniel_asu_0010E_11536.pdf,17246648
14623,Understanding the Role of Academic Language on Conceptual Understanding in an Introductory Materials Science and Engineering Course,93506,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60720,690,2012-08-24 23:17:24.194149+00:00,filestore/0d/c5/e9/0dc5e9d5a9e0563f7c4bc77ca0799dca,0dc5e9d5a9e0563f7c4bc77ca0799dca,application/pdf,/tmp/package-8gEqhS/Kelly_asu_0010E_11537.pdf,4232759
14624,Leadership and Organizational Culture: An Integrative View of Leaders as Culture Creators and Culture as Social Context,93507,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60721,1902,2012-08-24 23:17:24.833430+00:00,filestore/2e/59/de/2e59de8f3454b76b1d755f4dcfc6d2db,2e59de8f3454b76b1d755f4dcfc6d2db,application/pdf,/tmp/package-c7SsUF/Hartnell_asu_0010E_11543.pdf,860335
14625,Forging Paths Through Hostile Territory: Intersections of Women's Identities Pursuing Post-Secondary Computing Education,93508,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60722,682,2012-08-24 23:17:25.547085+00:00,filestore/74/ba/44/74ba44f2b3a0cd5c77f92336bb8323ef,74ba44f2b3a0cd5c77f92336bb8323ef,application/pdf,/tmp/package-HVemH1/Ratnabalasuriar_asu_0010E_11546.pdf,977119
14626,Ultra Structurally Based Impedance Model for Oral Cancer Detection,93509,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60723,1731,2012-08-24 23:17:28.556167+00:00,filestore/b1/1c/b3/b11cb31cd3ee10a0162bd46761d8f78a,b11cb31cd3ee10a0162bd46761d8f78a,application/pdf,/tmp/package-u7uNT8/Pelletier_asu_0010E_11551.pdf,3108500
14627,"Pain center waiting room design: An exploration of the relationship between pain, comfort and positive distraction.",93517,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60731,1242,2012-08-24 23:17:34.098499+00:00,filestore/9d/be/d3/9dbed35be6746dda11601e4f1e8e5ce2,9dbed35be6746dda11601e4f1e8e5ce2,application/pdf,/tmp/package-_sb74s/Draper_asu_0010N_11552.pdf,17838026
14628,Effective Succession Planning in Construction Companies,93518,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60732,2109,2012-08-24 23:17:34.749573+00:00,filestore/46/94/95/469495c2c3ef1e3c0150fcab9299bba7,469495c2c3ef1e3c0150fcab9299bba7,application/pdf,/tmp/package-tRFQku/Perrenoud_asu_0010N_11554.pdf,941611
14629,"Three Suites for Cello Opp. 72, 80, and 87 by Benjamin Britten Transcribed for Guitar",93519,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60733,2487,2012-08-24 23:17:35.408546+00:00,filestore/25/60/b9/2560b9dded145fa72741552794242691,2560b9dded145fa72741552794242691,application/pdf,/tmp/package-resUtA/Higginbotham_asu_0010E_11555.pdf,456421
14630,Free Classification of Dysarthric Speech: A Taxonomical Approach,93520,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60734,1460,2012-08-24 23:17:36.203464+00:00,filestore/eb/ad/60/ebad600bb607888818e2adae23ae20e7,ebad600bb607888818e2adae23ae20e7,application/pdf,/tmp/package-aFi8b0/Norton_asu_0010N_11559.pdf,2274880
14631,"Intermediaries, Illiquidity and Corporate Bond Pricing",93521,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60735,821,2012-08-24 23:17:36.693025+00:00,filestore/02/9b/eb/029bebdf0e8610397f71e1f960368ff1,029bebdf0e8610397f71e1f960368ff1,application/pdf,/tmp/package-_P2ZoG/Qian_asu_0010E_11561.pdf,473107
14632,The role of future time perspective: An examination of a structural model,93522,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60736,3651,2012-08-24 23:17:37.492078+00:00,filestore/07/80/c0/0780c00a782f3db5b073f35361887082,0780c00a782f3db5b073f35361887082,application/pdf,/tmp/package-DHpOdk/Walker_asu_0010E_11565.pdf,1215814
14633,"The Confluence of Folkloric Maraca Performance and Contemporary Artistry: Assessing the Past, Present, and Inspiring the Future",93523,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60737,1007,2012-08-24 23:18:13.094876+00:00,filestore/13/0d/1b/130d1bd7c6003d69bab5bfe0949eea7f,130d1bd7c6003d69bab5bfe0949eea7f,application/pdf,/tmp/package-AuS5qG/Muller_asu_0010E_11566.pdf,8956244
14634,Reframing the Problem of Difference: Lillian Smith and Hierarchical Politics of Difference,93526,Full Text,,,Dissertation/Thesis (),,,,,,,,,,60740,956,2012-08-24 23:18:15.799275+00:00,filestore/f4/d9/82/f4d9823c2cf8d81cc33263114c9aa357,f4d9823c2cf8d81cc33263114c9aa357,application/pdf,/tmp/package-i1kClx/Holiday_asu_0010E_11569.pdf,510152
