Collection Url,Legacy System ID,Creator,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Corporate contributor,Title,Cataloging Notes,Repository Ingestion Notes,Title as Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Topical Subject,Genre/Form Heading,Genre/Form Heading,Genre/Form Heading,Geographic Subject,Geographic Subject,Geographic Subject,Geographic Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Corporate Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Personal Name Subject,Type of scholarship,Advisor and Committee members for EDTs only,,,,,,,,,,,,,,,,,
,24440,,"Pannabecker, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building a Foundation for Lifelong Research: Emphasizing Open Access and Open Educational Resources in Allied Health Higher Education,,Has series,,Health education,Open educational research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,24439,,"Pannabecker, Virginia","Lee, Young-Joo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Building a Framework Together: Embedded Understanding of Faculty Scholarly Publishing and Research Support Services,,Has series; Lee was asu professor at time of research (https://isearch.asu.edu/profile/841979/cv),,Scholarly publishing,Research -- Methodology,Academic libraries -- Relations with faculty and curriculum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty/staff scholarship,,,,,,,,,,,,,,,,,,
,20617,,"Gallegos, Bee","Kammerlocher, Lisa","Pannabecker, Virginia","Pardon, Kevin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Badges in Higher Ed: Certifying Research Skills that Impress Professors & Future Employers,,Has series,,Digital badges,Research -- Methodology,Open educational resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,23688,,"Pannabecker, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fad Diets and Evidence-Based Research 3 mini-case studies in student-driven how-to research sessions,,Has series,,Health education,Library orientation,Library research,Student-centered learning,Active learning,Flipped classrooms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,17663,,"Pannabecker, Virginia","Pardon, Kevin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"How Do Google, Google Scholar, and Other Google Tools Help Health Professionals Navigate the Oceans of Information?",,Has series,Google Scholar,Medical sciences,Medical literature,Medicine -- Research,Internet research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,24438,,"Lee, Young-Joo","Pannabecker, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Health Research Sources: Citation Pattern Analysis Including the Use, Citation, and Sources for Data Sets",,Has series,,Medical sciences,Medical literature,Medicine -- Research,Scholarly periodicals.,Internet research,Grey literature,Bibliographical citations,Citation of electronic information resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faculty/staff scholarship,,,,,,,,,,,,,,,,,,
,18178,,"Pannabecker, Virginia","Pardon, Kevin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Educational Resources: A Rising Wave of Change and Opportunity,,Has series,,Open educational resources,Medical sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,18994,,"Pannabecker, Virginia","Humphreys, Alexandra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opening Minds to Open Access: Best Practices at Arizona State University,,Has series,,Open educational resources in libraries,Library outreach programs,Academic libraries -- Activity programs,Open learning,,,,,,,,,,Arizona,,,,Arizona State University. Libraries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
,21188,,"Gallegos, Bee","Kammerlocher, Lisa","Pannabecker, Virginia","Pardon, Kevin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overcoming Obstacles in Online Learning: Best Practices for Digital Badges in Higher Ed,,Has series,,Digital badges,Internet in higher education,Open educational resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Staff scholarship,,,,,,,,,,,,,,,,,,
