vid,code,url,name
identifier_types,iso,,International Organization for Standardization number for an ISO standard
identifier_types,isrc,,International standard recording code
identifier_types,issn,,International standard serial number
identifier_types,issn-l,,Linking International standard serial number
identifier_types,issue-number,,Sound recording issue number
identifier_types,istc,,International standard text code
identifier_types,iswc,,International standard musical work code
identifier_types,itar,https://dbh.nsd.uib.no/publiseringskanaler/Forside,ITAR (Importtjeneste og autoritetsregistre) 
identifier_types,kda,https://www.kulturarv.dk/kid/Forside.do,Kunstindeks Danmark Artist 
identifier_types,kdw,https://www.kulturarv.dk/kid/Forside.do,Kunstindeks Danmark Work 
identifier_types,kinopo,http://www.kinopoisk.ru/,КиноПоиск = KinoPoisk 
identifier_types,lattes,http://lattes.cnpq.br/,Currículo Lattes 
identifier_types,lccn,,Library of Congress control number
identifier_types,lcmd,,"Library of Congress Manuscript Division field of history codes (Washington, DC: Library of Congress)"
identifier_types,lei,http://openleis.com/,Legal entity identifier 
identifier_types,libaus,https://librariesaustralia.nla.gov.au/,Libraries Australia (National Library of Australia) 
identifier_types,local,,Locally defined identifier
identifier_types,margaz,http://www.marineregions.org/gazetteer.php,Marine Gazetteer (Marineregions.org) 
identifier_types,matrix-number,,Sound recording matrix number
identifier_types,mesh,https://www.nlm.nih.gov/mesh/,"Medical Subject Headings (Bethesda, MD: National Library of Medicine) "
identifier_types,mocofo,http://www.musee-orsay.fr/fr/collections/catalogue-des-oeuvres/,Musée d'Orsay Catalogue des oeuvres fiche oeuvre 
identifier_types,moma,http://www.moma.org/collection/,Museum of Modern Art (New York: Museum of Modern Art) 
identifier_types,morana,http://www.musee-orsay.fr/fr/accueil.html,Musée d'Orsay Répertoire des artistes notice artiste 
identifier_types,moviemetf,https://www.moviemeter.nl/,MovieMeter Films 
identifier_types,moviemetr,https://www.moviemeter.nl/,MovieMeter Regisseurs 
identifier_types,munzing,http://www.munzinger.de/search/,Munzinger (Munzinger Archiv) 
identifier_types,muscl,http://www.musicsalesclassical.com/,Music Sales Classical 
identifier_types,music-plate,,Publisher's music plate number
identifier_types,music-publisher,,Publisher-assigned music number
identifier_types,musicb,https://musicbrainz.org/,MusicBrainz 
identifier_types,nacat,https://catalog.archives.gov/,"National Archives Catalog (Washington, DC: National Archives) "
identifier_types,nagb,https://discovery.nationalarchives.gov.uk/,The National Archives (Great Britain) 
identifier_types,natgazfid,,"U.S. National Gazetteer Feature Name Identifier (Reston, VA: GNIS)"
identifier_types,nga,http://www.nga.gov/content/ngaweb/Collection.html,National Gallery of Art (Washington DC: National Gallery of Art) 
identifier_types,ngva,https://www.ngv.vic.gov.au/explore/collection/,National Gallery of Victoria Artist 
identifier_types,ngvw,https://www.ngv.vic.gov.au/explore/collection/,National Gallery of Victoria Work 
identifier_types,nipo,,NIPO (Número de Identificación de las Publicaciones Oficiales)
identifier_types,nndb,http://www.nndb.com/,NNDB (Notable Names Database) 
identifier_types,npg,http://www.npg.org.uk/collections/search/artA-Z.php,National Portrait Gallery (London: National Portrait Gallery) 
identifier_types,odnb,http://www.oxforddnb.com/,Oxford Dictionary of National Biography (Oxford University Press) 
identifier_types,ofdb,https://ssl.ofdb.de/,OFDb: Online-Filmdatenbank 
identifier_types,onix,http://www.editeur.org/,ONIX (Online Information Exchange) 
identifier_types,opensm,https://www.openstreetmap.org/,OpenStreetMap 
identifier_types,orcid,http://about.orcid.org/,Open Researcher and Contributor Identifier 
identifier_types,oxforddnb,http://www.oxforddnb.com/index/,Oxford Biography Index 
identifier_types,pcadbu,http://pcad.lib.washington.edu/buildings/,Pacific Coast Architecture Database - buildings list 
identifier_types,pcadpe,http://pcad.lib.washington.edu/persons/,Pacific Coast Architecture Database - persons list 
identifier_types,pcadpf,http://pcad.lib.washington.edu/firms/,Pacific Coast Architecture Database - practices and firms 
identifier_types,permid,https://permid.org/,PermID 
