vid,name,source,logo
copyright_statements,In Copyright,http://rightsstatements.org/vocab/InC/1.0/,https://rightsstatements.org/files/buttons/InC.dark-white-interior.svg
copyright_statements,No Copyright - United States,http://rightsstatements.org/vocab/NoC-US/1.0/,https://rightsstatements.org/files/buttons/NoC-US.dark-white-interior.svg
copyright_statements,No Known Copyright,http://rightsstatements.org/vocab/NKC/1.0/,https://rightsstatements.org/files/buttons/NKC.dark-white-interior.svg
