,Collection ID,Collection Title,Item Title,Item ID,Subjects,Institutional Contributors,Date Created_x,Description_x,Table of Contents_x,Language_x,Identifiers,Series_x,Resource Types,Extent_x,Citation,Notes,Copyright,Reuse,Visibility_x,Embargo Date,System Created,System Updated,Attachment Count,System User,Title,Description_y,Personal Contributor,Personal Contributor Role,Personal Contributor.1,Personal Contributor Role.1,Personal Contributor.2,Personal Contributor Role.2,Personal Contributor.3,Personal Contributor Role.3,Personal Contributor.4,Personal Contributor Role.4,Personal Contributor.5,Personal Contributor Role.5,Personal Contributor.6,Personal Contributor Role.6,Corporate Contributor,Corporate Contributor Role,Event Contributor,Table of Contents_y,Topical Subject,Topical Subject.1,Genre,Geographic Subject,Corporate Name Subject,Corporate Name Subject.1,Personal Name Subject,Copyright Statement,Reuse Permissions,Handle,Legacy System ID,ID,System Creator,Peer-reviewed,Open Access,Series_y,Date Created_y,Copyright Date,Date Digitized,Collaborating Institution,Statement of Responsibility,Model,Parent Collection,Parent Item,Visibility_y,Additional Memberships,Place of Publication Text,Place of Publication Code,Coordinates,Related Item,Note,Identifier,Cataloging Standards,Complex Object Child,File Location,Derivative File Permissions,Original File Permissions,Description Source,Embargo Release Date,Level of Coding,File Location.1,Topical Subjects,Contributors-Person,Contributors-Corporate,Geographic Subjects,Corporate Name Subjects,History JSON
12,,,,,,,,,,,,,,,,,,,,,2012-09-07 19:55:55.783099+00:00,,,,Grand Canyon Easter Services,"Easter services at the Grand Canyon, including commentary by Governor Pyle, services by Rev. Thomas Miller Pyle (Buckeye, Arizona) and Shrine of the Ages Pastor Rev. Kenneth Porray, and music by the Shrine of the Ages Boys Choir and Arizona State College Flagstaff.","Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Commentator",Commentator,"Pyle, Thomas Miller|http://id.loc.gov/authorities/names/no2003098704|Speaker",Speaker,"Porray, Kenneth John, 1916-1997|Speaker",Speaker,None|nan,,None|nan,,None|nan,,None|nan,,"KTAR (Radio station : Phoenix, Ariz.)|http://id.loc.gov/authorities/names/n93045688|Broadcaster",Broadcaster,,,Easter service|http://id.loc.gov/authorities/subjects/sh85040599,,sound recordings|http://vocab.getty.edu/page/aat/300028633,"Shrine of the Ages Chapel (Grand Canyon, Ariz.)",,,,In Copyright,Attribution-NonCommercial-ShareAlike,,,1,egdunham,0,0,,1951-03-25,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,,Easter service|http://id.loc.gov/authorities/subjects/sh85040599,"Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Commentator||Pyle, Thomas Miller|http://id.loc.gov/authorities/names/no2003098704|Speaker||Porray, Kenneth John, 1916-1997|Speaker","KTAR (Radio station : Phoenix, Ariz.)|http://id.loc.gov/authorities/names/n93045688|Broadcaster","Shrine of the Ages Chapel (Grand Canyon, Ariz.)",,
13,,,,,,,,,,,,,,,,,,,,,2012-09-07 19:55:55.783099+00:00,,,,"United Nations Conference, San Francisco","This recording includes interviews with NBC's Frank McCall regarding technical difficulties associated with broadcasting and organizing the conference and with Carveth Wells, NBC radio announcer Ben Grauer, and John Wald of Richfield Reporters regarding conference proceedings.  Also included are greetings from Arizonans Capt. and Mrs. Joseph Madison Greer, who were stationed at the Merritt Island Navy Yard and Hospital.","Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Interviewer",Interviewer,"Grauer, Ben|http://id.loc.gov/authorities/names/n85301300|Interviewee",Interviewee,"Wald, John, 1908-1988|Interviewee",Interviewee,"McCall, Francis Cleaves, 1907-1981|Interviewee",Interviewee,"Wells, Carveth|http://id.loc.gov/authorities/names/n88278008|Interviewee",Interviewee,"Greer, Joseph Madison, 1887-1969|Interviewee",Interviewee,"Greer, Mary Susan Rasmusson, 1889-1957|Interviewee",Interviewee,None|nan,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"United Nations Conference on International Organization (1945 : San Francisco, Calif.)|http://id.loc.gov/authorities/names/n82058955",,,In Copyright,Attribution-NonCommercial-ShareAlike,,,2,egdunham,0,0,,1945-04-29,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,,,"Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Interviewer||Grauer, Ben|http://id.loc.gov/authorities/names/n85301300|Interviewee||Wald, John, 1908-1988|Interviewee||McCall, Francis Cleaves, 1907-1981|Interviewee||Wells, Carveth|http://id.loc.gov/authorities/names/n88278008|Interviewee||Greer, Joseph Madison, 1887-1969|Interviewee||Greer, Mary Susan Rasmusson, 1889-1957|Interviewee",,,"United Nations Conference on International Organization (1945 : San Francisco, Calif.)|http://id.loc.gov/authorities/names/n82058955",
8,,,,,,,,,,,,,,,,,,,,,2012-09-07 19:55:55.783099+00:00,,,,General Douglas MacArthur Speech,Address by General Douglas MacArthur at the Special Session of the 1st Congress of the Philippines with Pyle's reporting.,"Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Reporter",Reporter,"MacArthur, Douglas, 1880-1964|http://id.loc.gov/authorities/names/n79054196|Speaker",Speaker,None|nan,,None|nan,,None|nan,,None|nan,,None|nan,,None|nan,,,,"World War, 1939-1945|http://id.loc.gov/authorities/subjects/sh85148273",,sound recordings|http://vocab.getty.edu/page/aat/300028633,Philippines -- History -- 1898-1946,,,,In Copyright,Attribution-NonCommercial-ShareAlike,,,3,egdunham,0,0,,1945-07-13,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,,"World War, 1939-1945|http://id.loc.gov/authorities/subjects/sh85148273","Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Reporter||MacArthur, Douglas, 1880-1964|http://id.loc.gov/authorities/names/n79054196|Speaker",,Philippines -- History -- 1898-1946,,
7,,,,,,,,,,,,,,,,,,,,,2012-09-07 19:55:55.783099+00:00,,,,"""What is Right for America?""","Howard Pyle delivered this speech, which discusses the ""vanishing American"" and references Herbert Hoover, at the 1952 Republican National Convention.","Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Speaker",Speaker,None|nan,,None|nan,,None|nan,,None|nan,,None|nan,,None|nan,,None|nan,,,,,,sound recordings|http://vocab.getty.edu/page/aat/300028633,,"Republican National Convention (25th : 1952 : Chicago, Ill.)",,"Hoover, Herbert, 1874-1964",In Copyright,Attribution-NonCommercial-ShareAlike,,,4,egdunham,0,0,,1952,,,,,Complex Object,J. Howard Pyle Radio Broadcasts,,1,,,,,,,,,0,,Public,Public,,,,,,"Pyle, Howard, 1906-1987|http://id.loc.gov/authorities/names/n93045685|Speaker",,,"Republican National Convention (25th : 1952 : Chicago, Ill.)",
